soc_now,current_hour,current_month,outside_temperature,charging_type,target_soc,load_score,charging_load,charging_fee,charging_speed,recommended_delay_hour
52,14,11,6,완속,77,1,1269.0182481751824,5797.65625,4.638414975272287,0
59,14,5,15,완속,90,1,1269.0182481751824,5797.65625,4.638414975272287,0
60,8,6,18,완속,92,1,656.007299270073,6261.8421052631575,4.638414975272287,0
51,14,8,12,완속,67,1,1269.0182481751824,5797.65625,4.638414975272287,0
83,5,8,2,급속,99,0,4160.14598540146,0.0,0.0,0
12,23,10,-3,완속,63,0,1732.5766423357663,4524.6,4.638414975272287,0
66,1,3,14,급속,77,0,2484.6715328467158,9582.666666666666,0.0,0
24,13,9,37,완속,60,1,1061.036496350365,6093.153846153846,4.638414975272287,0
35,12,1,29,급속,73,1,21800.729927007294,12676.586206896553,0.0,2
43,13,11,1,급속,73,1,21090.218978102188,12984.285714285714,0.0,2
30,21,11,35,급속,89,2,9896.496350364963,11003.153846153846,0.0,5
31,9,12,14,급속,96,1,16308.61313868613,13502.534246575342,0.0,2
12,6,2,4,급속,93,0,7192.846715328467,9158.0,0.0,0
56,12,7,19,완속,87,1,990.9343065693432,4772.685714285714,4.638414975272287,0
66,0,1,4,완속,92,0,680.1240875912408,6223.0,4.638414975272287,0
19,11,6,23,급속,88,1,20353.284671532845,7625.88679245283,0.0,0
47,3,10,4,급속,81,0,1743.3576642335763,8935.75,0.0,0
70,19,9,-6,급속,62,2,15616.058394160584,13773.162162162162,0.0,5
85,21,8,-6,완속,94,2,2069.4963503649637,6730.16,4.638414975272287,3
50,16,4,34,완속,74,2,1889.412408759124,8598.652173913044,4.638414975272287,3
60,21,4,13,급속,63,2,9896.496350364963,11003.153846153846,0.0,3
29,12,3,-3,급속,64,1,21800.729927007294,12676.586206896553,0.0,2
43,17,8,-8,완속,66,2,2330.8722627737225,7435.382352941177,4.638414975272287,3
69,12,11,-8,완속,68,1,990.9343065693432,4772.685714285714,4.638414975272287,0
11,12,9,6,완속,87,1,990.9343065693432,4772.685714285714,4.638414975272287,0
16,8,12,-5,완속,95,1,656.007299270073,6261.8421052631575,4.638414975272287,0
41,7,12,18,완속,96,0,392.536496350365,9388.360655737704,4.638414975272287,0
68,14,1,-8,완속,85,1,1269.0182481751824,5797.65625,4.638414975272287,0
43,8,3,18,완속,92,1,656.007299270073,6261.8421052631575,4.638414975272287,0
61,10,4,-8,완속,97,1,865.3175182481751,6055.105263157895,4.638414975272287,0
31,10,6,20,급속,85,1,17989.48905109489,10217.520547945203,0.0,2
59,18,8,4,급속,71,2,17997.080291970804,11109.414634146342,0.0,5
73,5,4,-9,급속,60,0,4160.14598540146,0.0,0.0,0
69,3,1,-4,급속,87,0,1743.3576642335763,8935.75,0.0,0
71,2,1,28,완속,84,0,332.7554744525547,8723.0,4.638414975272287,0
80,6,11,-6,급속,91,0,7192.846715328467,9158.0,0.0,0
42,5,9,11,완속,74,0,135.63138686131387,6856.0,4.638414975272287,0
34,11,2,2,완속,94,1,971.543795620438,3664.714285714286,4.638414975272287,0
72,4,12,14,급속,69,0,2609.0510948905107,4826.0,0.0,0
36,18,10,6,급속,95,2,17997.080291970804,11109.414634146342,0.0,5
63,3,9,37,급속,73,0,1743.3576642335763,8935.75,0.0,2
43,20,8,10,급속,81,2,12761.60583941606,13008.4375,0.0,3
88,9,10,15,완속,86,1,764.0474452554745,6252.142857142857,4.638414975272287,0
67,15,6,-7,완속,63,1,1583.302919708029,7393.829268292683,4.638414975272287,0
48,11,4,19,급속,90,1,20353.284671532845,7625.88679245283,0.0,2
56,5,12,-5,완속,62,0,135.63138686131387,6856.0,4.638414975272287,0
66,6,9,13,완속,98,0,228.67518248175185,21824.5,4.638414975272287,1
63,9,2,2,급속,91,1,16308.61313868613,13502.534246575342,0.0,2
85,16,7,9,급속,92,2,21504.3795620438,11396.470588235294,0.0,5
61,16,8,-6,완속,70,2,1889.412408759124,8598.652173913044,4.638414975272287,3
14,2,10,12,급속,91,0,1900.14598540146,9863.0,0.0,0
54,2,1,36,급속,62,0,1900.14598540146,9863.0,0.0,2
30,6,5,-6,완속,84,0,228.67518248175185,21824.5,4.638414975272287,1
18,11,12,10,완속,77,1,971.543795620438,3664.714285714286,4.638414975272287,0
71,11,11,-4,급속,68,1,20353.284671532845,7625.88679245283,0.0,2
55,0,6,-4,급속,97,0,3240.43795620438,7813.111111111111,0.0,0
18,22,11,11,완속,84,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
47,2,5,6,완속,82,0,332.7554744525547,8723.0,4.638414975272287,0
57,15,4,37,급속,99,1,21822.481751824816,11311.535714285714,0.0,4
79,0,8,29,급속,71,0,3240.43795620438,7813.111111111111,0.0,0
65,3,7,25,급속,87,0,1743.3576642335763,8935.75,0.0,0
30,0,2,0,완속,99,0,680.1240875912408,6223.0,4.638414975272287,0
37,6,9,16,급속,67,0,7192.846715328467,9158.0,0.0,0
69,22,10,16,급속,73,0,7380.291970802919,14288.8,0.0,0
19,9,4,34,급속,86,1,16308.61313868613,13502.534246575342,0.0,0
34,6,4,-1,급속,81,0,7192.846715328467,9158.0,0.0,0
86,4,1,34,급속,76,0,2609.0510948905107,4826.0,0.0,2
15,21,3,37,급속,68,2,9896.496350364963,11003.153846153846,0.0,0
72,13,7,6,급속,65,1,21090.218978102188,12984.285714285714,0.0,2
44,10,11,11,완속,69,1,865.3175182481751,6055.105263157895,4.638414975272287,0
17,8,5,23,급속,92,1,13693.722627737228,11117.287671232876,0.0,0
31,14,7,18,완속,93,1,1269.0182481751824,5797.65625,4.638414975272287,0
78,16,2,35,완속,60,2,1889.412408759124,8598.652173913044,4.638414975272287,3
16,0,5,33,완속,86,0,680.1240875912408,6223.0,4.638414975272287,0
21,18,11,37,완속,79,2,2701.284671532847,11538.945945945949,4.638414975272287,3
56,22,7,6,완속,67,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
85,7,5,27,급속,64,0,9891.970802919708,16625.809523809523,0.0,1
55,19,9,8,완속,97,2,2503.956204379562,13791.07142857143,4.638414975272287,3
82,1,8,6,완속,73,0,531.7189781021898,0.0,4.638414975272287,0
78,6,9,4,완속,82,0,228.67518248175185,21824.5,4.638414975272287,1
43,22,4,18,완속,92,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
10,23,10,7,완속,94,0,1732.5766423357663,4524.6,4.638414975272287,0
31,7,6,11,완속,95,0,392.536496350365,9388.360655737704,4.638414975272287,0
54,18,4,30,완속,72,2,2701.284671532847,11538.945945945949,4.638414975272287,3
14,4,11,27,급속,66,0,2609.0510948905107,4826.0,0.0,0
48,22,8,14,완속,74,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
75,11,8,-2,완속,67,1,971.543795620438,3664.714285714286,4.638414975272287,0
44,9,7,26,급속,99,1,16308.61313868613,13502.534246575342,0.0,2
14,8,5,7,급속,76,1,13693.722627737228,11117.287671232876,0.0,0
58,16,10,2,급속,77,2,21504.3795620438,11396.470588235294,0.0,5
34,6,10,9,완속,99,0,228.67518248175185,21824.5,4.638414975272287,1
10,4,6,17,급속,60,0,2609.0510948905107,4826.0,0.0,0
73,11,10,26,급속,65,1,20353.284671532845,7625.88679245283,0.0,2
27,3,7,36,급속,89,0,1743.3576642335763,8935.75,0.0,2
79,23,10,22,완속,68,0,1732.5766423357663,4524.6,4.638414975272287,0
36,14,6,23,급속,74,1,21480.14598540146,11760.470588235294,0.0,2
13,6,5,29,완속,67,0,228.67518248175185,21824.5,4.638414975272287,0
47,0,6,-4,급속,68,0,3240.43795620438,7813.111111111111,0.0,0
16,23,12,7,급속,75,0,4851.240875912409,5016.0,0.0,0
12,18,9,-5,급속,62,2,17997.080291970804,11109.414634146342,0.0,0
25,12,10,20,완속,92,1,990.9343065693432,4772.685714285714,4.638414975272287,0
80,7,8,8,급속,75,0,9891.970802919708,16625.809523809523,0.0,1
80,2,1,33,완속,69,0,332.7554744525547,8723.0,4.638414975272287,0
38,16,10,27,완속,77,2,1889.412408759124,8598.652173913044,4.638414975272287,3
59,7,8,19,급속,72,0,9891.970802919708,16625.809523809523,0.0,1
44,2,10,-1,급속,95,0,1900.14598540146,9863.0,0.0,0
21,3,4,7,완속,95,0,177.32481751824818,0.0,4.638414975272287,0
70,2,3,28,완속,86,0,332.7554744525547,8723.0,4.638414975272287,0
13,14,8,-1,급속,98,1,21480.14598540146,11760.470588235294,0.0,0
25,21,10,36,급속,91,2,9896.496350364963,11003.153846153846,0.0,5
82,14,4,1,급속,86,1,21480.14598540146,11760.470588235294,0.0,2
32,1,8,-3,급속,81,0,2484.6715328467158,9582.666666666666,0.0,0
34,16,4,34,완속,65,2,1889.412408759124,8598.652173913044,4.638414975272287,3
84,19,9,17,완속,88,2,2503.956204379562,13791.07142857143,4.638414975272287,3
