구분,주소(지번) (addr),주소(도로명) (addr_road),주소(상세) (addr_detail),상세위치 (location_detail),계량기 타입 (meter_type),충전시간 (charging_time),로밍회원 충전여부 (roaming_yn),충전전력량(합계) (charging_kwh),charging_time_td,charging_hour,charging_speed_kwh_per_hour
1,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,4:09:23,y,27.35,0 days 04:09:23,4.1563888888888885,6.580231237051394
2,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:24:08,n,29.55,0 days 00:24:08,0.4022222222222222,73.46685082872929
3,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,7:42:31,n,20.191,0 days 07:42:31,7.708611111111111,2.6192785845555115
4,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:50:58,n,58.94,0 days 00:50:58,0.8494444444444444,69.38652714192283
5,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,71:21:14,n,73.334,2 days 23:21:14,71.35388888888889,1.027750570318522
6,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:33:33,y,49.16,0 days 00:33:33,0.5591666666666667,87.9165424739195
7,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:34:35,y,27.38,0 days 00:34:35,0.5763888888888888,47.50265060240964
8,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,64:40:02,n,41.281,2 days 16:40:02,64.66722222222222,0.6383604951847492
9,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
10,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
11,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:13:51,n,29.42,0 days 00:13:51,0.23083333333333333,127.45126353790614
12,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,28:41:32,n,42.791,1 days 04:41:32,28.692222222222224,1.4913797777175384
13,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:13:08,n,30.73,0 days 00:13:08,0.21888888888888888,140.39086294416245
14,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:37:34,y,47.78,0 days 00:37:34,0.6261111111111111,76.31233362910382
15,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,1:05:00,n,42.79,0 days 01:05:00,1.0833333333333333,39.49846153846154
16,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:55:53,y,55.56,0 days 00:55:53,0.9313888888888889,59.65284819564569
17,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,136:43:00,n,64.812,5 days 16:43:00,136.71666666666667,0.4740607094965256
18,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:20:20,n,29.39,0 days 00:20:20,0.3388888888888889,86.72459016393442
19,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,20:06:57,n,57.349,0 days 20:06:57,20.115833333333335,2.8509383155888806
20,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:11:03,y,13.9,0 days 00:11:03,0.18416666666666667,75.47511312217195
21,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,144:06:46,n,33.406,6 days 00:06:46,144.11277777777778,0.23180456663955312
22,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:41:53,y,15.82,0 days 00:41:53,0.6980555555555555,22.662952646239557
23,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:24:46,n,48.73,0 days 00:24:46,0.4127777777777778,118.05383580080752
24,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:26:36,y,13.4,0 days 00:26:36,0.44333333333333336,30.225563909774436
25,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:19:10,y,21.58,0 days 00:19:10,0.3194444444444444,67.55478260869565
26,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
27,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
28,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:06:22,y,13.75,0 days 00:06:22,0.10611111111111111,129.58115183246073
29,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
30,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:24:37,y,27.55,0 days 00:24:37,0.4102777777777778,67.14962762356127
31,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
32,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
33,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
34,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,,n,,,,
35,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:15:43,n,8.5,0 days 00:15:43,0.2619444444444444,32.44962884411453
36,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:42:49,n,68.46,0 days 00:42:49,0.7136111111111111,95.93460490463215
37,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:44:26,n,61.22,0 days 00:44:26,0.7405555555555555,82.66766691672919
