일자,충전방식,hour,charging_load
2024-01-01,급속,0,3720
2024-01-01,완속,0,987
2024-01-02,급속,0,2880
2024-01-02,완속,0,469
2024-01-03,급속,0,3800
2024-01-03,완속,0,630
2024-01-04,급속,0,4480
2024-01-04,완속,0,637
2024-01-05,급속,0,4160
2024-01-05,완속,0,777
2024-01-06,급속,0,4320
2024-01-06,완속,0,875
2024-01-07,급속,0,3880
2024-01-07,완속,0,686
2024-01-08,급속,0,4360
2024-01-08,완속,0,567
2024-01-09,급속,0,5040
2024-01-09,완속,0,742
2024-01-10,급속,0,3920
2024-01-10,완속,0,581
2024-01-11,급속,0,4360
2024-01-11,완속,0,609
2024-01-12,급속,0,4400
2024-01-12,완속,0,651
2024-01-13,급속,0,4240
2024-01-13,완속,0,868
2024-01-14,급속,0,2920
2024-01-14,완속,0,721
2024-01-15,급속,0,3440
2024-01-15,완속,0,434
2024-01-16,급속,0,4440
2024-01-16,완속,0,574
2024-01-17,급속,0,4480
2024-01-17,완속,0,721
2024-01-18,급속,0,4000
2024-01-18,완속,0,623
2024-01-19,급속,0,3880
2024-01-19,완속,0,791
2024-01-20,급속,0,4400
2024-01-20,완속,0,882
2024-01-21,급속,0,3560
2024-01-21,완속,0,728
2024-01-22,급속,0,3480
2024-01-22,완속,0,574
2024-01-23,급속,0,4720
2024-01-23,완속,0,602
2024-01-24,급속,0,5240
2024-01-24,완속,0,728
2024-01-25,급속,0,5280
2024-01-25,완속,0,672
2024-01-26,급속,0,5000
2024-01-26,완속,0,644
2024-01-27,급속,0,5040
2024-01-27,완속,0,784
2024-01-28,급속,0,4280
2024-01-28,완속,0,882
2024-01-29,급속,0,3960
2024-01-29,완속,0,651
2024-01-30,급속,0,4600
2024-01-30,완속,0,812
2024-01-31,급속,0,4720
2024-01-31,완속,0,966
2024-02-01,급속,0,3440
2024-02-01,완속,0,700
2024-02-02,급속,0,5040
2024-02-02,완속,0,791
2024-02-03,급속,0,4480
2024-02-03,완속,0,889
2024-02-04,급속,0,3120
2024-02-04,완속,0,686
2024-02-05,급속,0,2920
2024-02-05,완속,0,504
2024-02-06,급속,0,3960
2024-02-06,완속,0,616
2024-02-07,급속,0,4640
2024-02-07,완속,0,700
2024-02-08,급속,0,4200
2024-02-08,완속,0,931
2024-02-09,급속,0,5920
2024-02-09,완속,0,924
2024-02-10,급속,0,3160
2024-02-10,완속,0,567
2024-02-11,급속,0,3280
2024-02-11,완속,0,644
2024-02-12,급속,0,3920
2024-02-12,완속,0,798
2024-02-13,급속,0,3440
2024-02-13,완속,0,644
2024-02-14,급속,0,3080
2024-02-14,완속,0,595
2024-02-15,급속,0,3360
2024-02-15,완속,0,875
2024-02-16,급속,0,3680
2024-02-16,완속,0,770
2024-02-17,급속,0,3760
2024-02-17,완속,0,917
2024-02-18,급속,0,3200
2024-02-18,완속,0,917
2024-02-19,급속,0,2920
2024-02-19,완속,0,539
2024-02-20,급속,0,3000
2024-02-20,완속,0,637
2024-02-21,급속,0,3600
2024-02-21,완속,0,595
2024-02-22,급속,0,3960
2024-02-22,완속,0,658
2024-02-23,급속,0,4320
2024-02-23,완속,0,826
2024-02-24,급속,0,4720
2024-02-24,완속,0,777
2024-02-25,급속,0,3320
2024-02-25,완속,0,637
2024-02-26,급속,0,2840
2024-02-26,완속,0,539
2024-02-27,급속,0,3640
2024-02-27,완속,0,707
2024-02-28,급속,0,3640
2024-02-28,완속,0,637
2024-02-29,급속,0,2960
2024-02-29,완속,0,707
2024-03-01,급속,0,4280
2024-03-01,완속,0,896
2024-03-02,급속,0,4280
2024-03-02,완속,0,714
2024-03-03,급속,0,3600
2024-03-03,완속,0,742
2024-03-04,급속,0,3880
2024-03-04,완속,0,539
2024-03-05,급속,0,2840
2024-03-05,완속,0,707
2024-03-06,급속,0,3240
2024-03-06,완속,0,651
2024-03-07,급속,0,3360
2024-03-07,완속,0,644
2024-03-08,급속,0,3200
2024-03-08,완속,0,644
2024-03-09,급속,0,4360
2024-03-09,완속,0,840
2024-03-10,급속,0,3040
2024-03-10,완속,0,861
2024-03-11,급속,0,2920
2024-03-11,완속,0,546
2024-03-12,급속,0,2720
2024-03-12,완속,0,700
2024-03-13,급속,0,3000
2024-03-13,완속,0,665
2024-03-14,급속,0,3000
2024-03-14,완속,0,616
2024-03-15,급속,0,2960
2024-03-15,완속,0,616
2024-03-16,급속,0,3400
2024-03-16,완속,0,973
2024-03-17,급속,0,2720
2024-03-17,완속,0,672
2024-03-18,급속,0,2640
2024-03-18,완속,0,497
2024-03-19,급속,0,3040
2024-03-19,완속,0,651
2024-03-20,급속,0,3320
2024-03-20,완속,0,609
2024-03-21,급속,0,3360
2024-03-21,완속,0,686
2024-03-22,급속,0,4040
2024-03-22,완속,0,700
2024-03-23,급속,0,3000
2024-03-23,완속,0,805
2024-03-24,급속,0,2760
2024-03-24,완속,0,826
2024-03-25,급속,0,2800
2024-03-25,완속,0,497
2024-03-26,급속,0,2680
2024-03-26,완속,0,574
2024-03-27,급속,0,3760
2024-03-27,완속,0,630
2024-03-28,급속,0,2840
2024-03-28,완속,0,651
2024-03-29,급속,0,3400
2024-03-29,완속,0,721
2024-03-30,급속,0,3840
2024-03-30,완속,0,819
2024-03-31,급속,0,2800
2024-03-31,완속,0,735
2024-04-01,급속,0,3160
2024-04-01,완속,0,518
2024-04-02,급속,0,2840
2024-04-02,완속,0,595
2024-04-03,급속,0,2560
2024-04-03,완속,0,546
2024-04-04,급속,0,2880
2024-04-04,완속,0,539
2024-04-05,급속,0,2800
2024-04-05,완속,0,637
2024-04-06,급속,0,3640
2024-04-06,완속,0,784
2024-04-07,급속,0,2560
2024-04-07,완속,0,686
2024-04-08,급속,0,3200
2024-04-08,완속,0,574
2024-04-09,급속,0,2240
2024-04-09,완속,0,616
2024-04-10,급속,0,2840
2024-04-10,완속,0,721
2024-04-11,급속,0,2720
2024-04-11,완속,0,588
2024-04-12,급속,0,3120
2024-04-12,완속,0,595
2024-04-13,급속,0,3960
2024-04-13,완속,0,938
2024-04-14,급속,0,2040
2024-04-14,완속,0,693
2024-04-15,급속,0,2720
2024-04-15,완속,0,378
2024-04-16,급속,0,2640
2024-04-16,완속,0,581
2024-04-17,급속,0,3280
2024-04-17,완속,0,700
2024-04-18,급속,0,3080
2024-04-18,완속,0,637
2024-04-19,급속,0,2760
2024-04-19,완속,0,700
2024-04-20,급속,0,3640
2024-04-20,완속,0,847
2024-04-21,급속,0,2600
2024-04-21,완속,0,686
2024-04-22,급속,0,1800
2024-04-22,완속,0,462
2024-04-23,급속,0,2960
2024-04-23,완속,0,532
2024-04-24,급속,0,2240
2024-04-24,완속,0,693
2024-04-25,급속,0,3080
2024-04-25,완속,0,721
2024-04-26,급속,0,3160
2024-04-26,완속,0,616
2024-04-27,급속,0,3360
2024-04-27,완속,0,931
2024-04-28,급속,0,2920
2024-04-28,완속,0,721
2024-04-29,급속,0,1920
2024-04-29,완속,0,588
2024-04-30,급속,0,2080
2024-04-30,완속,0,560
2024-05-01,급속,0,3400
2024-05-01,완속,0,756
2024-05-02,급속,0,3000
2024-05-02,완속,0,714
2024-05-03,급속,0,3760
2024-05-03,완속,0,749
2024-05-04,급속,0,4360
2024-05-04,완속,0,896
2024-05-05,급속,0,3120
2024-05-05,완속,0,756
2024-05-06,급속,0,2080
2024-05-06,완속,0,602
2024-05-07,급속,0,3400
2024-05-07,완속,0,658
2024-05-08,급속,0,2560
2024-05-08,완속,0,665
2024-05-09,급속,0,2960
2024-05-09,완속,0,665
2024-05-10,급속,0,3000
2024-05-10,완속,0,861
2024-05-11,급속,0,3440
2024-05-11,완속,0,1008
2024-05-12,급속,0,2120
2024-05-12,완속,0,693
2024-05-13,급속,0,2840
2024-05-13,완속,0,469
2024-05-14,급속,0,2480
2024-05-14,완속,0,707
2024-05-15,급속,0,3200
2024-05-15,완속,0,791
2024-05-16,급속,0,2160
2024-05-16,완속,0,490
2024-05-17,급속,0,2880
2024-05-17,완속,0,840
2024-05-18,급속,0,3920
2024-05-18,완속,0,840
2024-05-19,급속,0,2640
2024-05-19,완속,0,686
2024-05-20,급속,0,2520
2024-05-20,완속,0,434
2024-05-21,급속,0,2400
2024-05-21,완속,0,665
2024-05-22,급속,0,2760
2024-05-22,완속,0,574
2024-05-23,급속,0,3240
2024-05-23,완속,0,644
2024-05-24,급속,0,4000
2024-05-24,완속,0,805
2024-05-25,급속,0,3560
2024-05-25,완속,0,861
2024-05-26,급속,0,2280
2024-05-26,완속,0,742
2024-05-27,급속,0,2120
2024-05-27,완속,0,385
2024-05-28,급속,0,2480
2024-05-28,완속,0,679
2024-05-29,급속,0,2760
2024-05-29,완속,0,658
2024-05-30,급속,0,2760
2024-05-30,완속,0,721
2024-05-31,급속,0,2840
2024-05-31,완속,0,735
2024-06-01,급속,0,4520
2024-06-01,완속,0,889
2024-06-02,급속,0,2400
2024-06-02,완속,0,672
2024-06-03,급속,0,2280
2024-06-03,완속,0,665
2024-06-04,급속,0,2680
2024-06-04,완속,0,686
2024-06-05,급속,0,2920
2024-06-05,완속,0,756
2024-06-06,급속,0,3240
2024-06-06,완속,0,896
2024-06-07,급속,0,2880
2024-06-07,완속,0,637
2024-06-08,급속,0,2720
