지역구분명,계절구분명,부하구분명,시작시간,종료시간,시작월,종료월,start_hour,end_hour
내륙지역,계절구분없음,부하구분없음,0:00,23:00,1,12,0,23
제주지역,계절구분없음,부하구분없음,0:00,23:00,1,12,0,23
제주지역,겨울1,경부하,0:00,7:00,1,2,0,7
제주지역,겨울1,경부하,22:00,23:00,1,2,22,23
제주지역,겨울1,중간부하,8:00,15:00,1,2,8,15
제주지역,겨울1,최대부하,16:00,21:00,1,2,16,21
제주지역,봄/가을1,경부하,0:00,7:00,3,5,0,7
제주지역,봄/가을1,경부하,22:00,23:00,3,5,22,23
제주지역,봄/가을1,중간부하,8:00,15:00,3,5,8,15
제주지역,봄/가을1,최대부하,16:00,21:00,3,5,16,21
제주지역,여름,경부하,0:00,7:00,6,8,0,7
제주지역,여름,경부하,22:00,23:00,6,8,22,23
제주지역,여름,중간부하,8:00,15:00,6,8,8,15
제주지역,여름,최대부하,16:00,21:00,6,8,16,21
제주지역,봄/가을2,경부하,0:00,7:00,9,10,0,7
제주지역,봄/가을2,경부하,22:00,23:00,9,10,22,23
제주지역,봄/가을2,중간부하,8:00,15:00,9,10,8,15
제주지역,봄/가을2,최대부하,16:00,21:00,9,10,16,21
제주지역,겨울2,경부하,0:00,7:00,11,12,0,7
제주지역,겨울2,경부하,22:00,23:00,11,12,22,23
제주지역,겨울2,중간부하,8:00,15:00,11,12,8,15
제주지역,겨울2,최대부하,16:00,21:00,11,12,16,21
내륙지역,겨울1,경부하,0:00,7:00,1,2,0,7
내륙지역,겨울1,경부하,22:00,23:00,1,2,22,23
내륙지역,겨울1,중간부하,8:00,8:00,1,2,8,8
내륙지역,겨울1,중간부하,12:00,15:00,1,2,12,15
내륙지역,겨울1,중간부하,19:00,21:00,1,2,19,21
내륙지역,겨울1,최대부하,9:00,11:00,1,2,9,11
내륙지역,겨울1,최대부하,16:00,18:00,1,2,16,18
내륙지역,봄/가을1,경부하,0:00,7:00,3,5,0,7
내륙지역,봄/가을1,경부하,22:00,23:00,3,5,22,23
내륙지역,봄/가을1,중간부하,8:00,10:00,3,5,8,10
내륙지역,봄/가을1,중간부하,12:00,12:00,3,5,12,12
내륙지역,봄/가을1,중간부하,18:00,21:00,3,5,18,21
내륙지역,봄/가을1,최대부하,11:00,11:00,3,5,11,11
내륙지역,봄/가을1,최대부하,13:00,17:00,3,5,13,17
내륙지역,여름,경부하,0:00,7:00,6,8,0,7
내륙지역,여름,경부하,22:00,23:00,6,8,22,23
내륙지역,여름,중간부하,8:00,10:00,6,8,8,10
내륙지역,여름,중간부하,12:00,12:00,6,8,12,12
내륙지역,여름,중간부하,18:00,21:00,6,8,18,21
내륙지역,여름,최대부하,11:00,11:00,6,8,11,11
내륙지역,여름,최대부하,13:00,17:00,6,8,13,17
내륙지역,봄/가을2,경부하,0:00,7:00,9,10,0,7
내륙지역,봄/가을2,경부하,22:00,23:00,9,10,22,23
내륙지역,봄/가을2,중간부하,8:00,10:00,9,10,8,10
내륙지역,봄/가을2,중간부하,12:00,12:00,9,10,12,12
내륙지역,봄/가을2,중간부하,18:00,21:00,9,10,18,21
내륙지역,봄/가을2,최대부하,11:00,11:00,9,10,11,11
내륙지역,봄/가을2,최대부하,13:00,17:00,9,10,13,17
내륙지역,겨울2,경부하,0:00,7:00,11,12,0,7
내륙지역,겨울2,경부하,22:00,23:00,11,12,22,23
내륙지역,겨울2,중간부하,8:00,8:00,11,12,8,8
내륙지역,겨울2,중간부하,12:00,15:00,11,12,12,15
내륙지역,겨울2,중간부하,19:00,21:00,11,12,19,21
내륙지역,겨울2,최대부하,9:00,11:00,11,12,9,11
내륙지역,겨울2,최대부하,16:00,18:00,11,12,16,18
