구분,충전소ID(cs_id),충전소명(cs_name),우편번호(zcode),충전기명(cp_name),커넥터 ID(connector_id),충전시작일시(start_timestamp),충전종료일시(stop_timestamp),충전시간(charging_time),충전요금(합계) (charging_fee),hour,charging_type
1,1,한전KDN 본사,58322,완속-007-01,2.0,2025-10-14 07:44:00,2025-10-14 11:53,4:09:23,8872,7.0,완속
2,1,한전KDN 본사,58322,급속-100-02,1.0,2025-10-13 18:36:00,2025-10-13 19:00,0:24:08,10253,18.0,급속
3,1,한전KDN 본사,58322,완속-007-01,2.0,2025-10-13 08:23:00,2025-10-13 16:05,7:42:31,6541,8.0,완속
4,1,한전KDN 본사,58322,급속-100-01,1.0,2025-10-13 13:48:00,2025-10-13 14:39,0:50:58,20452,13.0,급속
5,1,한전KDN 본사,58322,완속-007-01,3.0,2025-10-10 14:11:00,2025-10-13 13:32,71:21:14,23760,14.0,완속
6,1,한전KDN 본사,58322,급속-100-01,1.0,2025-10-13 12:58:00,2025-10-13 13:32,0:33:33,17068,12.0,급속
7,1,한전KDN 본사,58322,급속-100-01,2.0,2025-10-13 09:11:00,2025-10-13 9:46,0:34:35,9506,9.0,급속
8,1,한전KDN 본사,58322,완속-007-01,4.0,2025-10-10 16:32:00,2025-10-13 9:12,64:40:02,13375,16.0,완속
9,1,한전KDN 본사,58322,급속-100-02,2.0,2025-10-13 09:07:00,,,0,9.0,급속
10,1,한전KDN 본사,58322,급속-100-02,2.0,2025-10-13 09:03:00,,,0,9.0,급속
11,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-12 16:00:00,2025-10-12 16:14,0:13:51,10208,16.0,급속
12,1,한전KDN 본사,58322,완속-007-01,1.0,2025-10-11 10:20:00,2025-10-12 15:01,28:41:32,13864,10.0,완속
13,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-12 10:08:00,2025-10-12 10:22,0:13:08,10663,10.0,급속
14,1,한전KDN 본사,58322,급속-200-01,2.0,2025-10-11 21:31:00,2025-10-11 22:08,0:37:34,16589,21.0,급속
15,1,한전KDN 본사,58322,급속-100-01,1.0,2025-10-10 15:00:00,2025-10-10 16:05,1:05:00,14848,15.0,급속
16,1,한전KDN 본사,58322,급속-100-01,1.0,2025-10-10 08:47:00,2025-10-10 9:42,0:55:53,19290,8.0,급속
17,1,한전KDN 본사,58322,완속-007-01,5.0,2025-10-04 16:20:00,2025-10-10 9:03,136:43:00,20999,16.0,완속
18,1,한전KDN 본사,58322,급속-100-01,2.0,2025-10-09 18:10:00,2025-10-09 18:31,0:20:20,10198,18.0,급속
19,1,한전KDN 본사,58322,완속-007-01,1.0,2025-10-07 18:15:00,2025-10-08 14:22,20:06:57,18581,18.0,완속
20,1,한전KDN 본사,58322,급속-100-01,1.0,2025-10-08 04:05:00,2025-10-08 4:16,0:11:03,4826,4.0,급속
21,1,한전KDN 본사,58322,완속-007-01,1.0,2025-10-01 18:06:00,2025-10-07 18:13,144:06:46,10823,18.0,완속
22,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-07 07:35:00,2025-10-07 8:17,0:41:53,5492,7.0,급속
23,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-06 14:44:00,2025-10-06 15:08,0:24:46,16909,14.0,급속
24,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-06 13:02:00,2025-10-06 13:28,0:26:36,4652,13.0,급속
25,1,한전KDN 본사,58322,급속-200-01,2.0,2025-10-06 02:48:00,2025-10-06 3:07,0:19:10,7492,2.0,급속
26,1,한전KDN 본사,58322,급속-100-02,2.0,2025-10-05 16:08:00,,,0,16.0,급속
27,1,한전KDN 본사,58322,급속-100-02,2.0,2025-10-05 16:02:00,,,0,16.0,급속
28,1,한전KDN 본사,58322,급속-200-01,2.0,2025-10-05 11:47:00,2025-10-05 11:53,0:06:22,4774,11.0,급속
29,1,한전KDN 본사,58322,급속-100-02,1.0,2025-10-05 11:17:00,,,0,11.0,급속
30,1,한전KDN 본사,58322,급속-200-01,2.0,2025-10-03 15:11:00,2025-10-03 15:36,0:24:37,9565,15.0,급속
31,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-03 13:43:00,,,0,13.0,급속
32,1,한전KDN 본사,58322,급속-100-02,1.0,2025-10-03 10:46:00,,,0,10.0,급속
33,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-03 10:43:00,,,0,10.0,급속
34,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-03 10:41:00,,,0,10.0,급속
35,1,한전KDN 본사,58322,급속-100-02,1.0,2025-10-02 14:22:00,2025-10-02 14:38,0:15:43,2949,14.0,급속
36,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-02 12:35:00,2025-10-02 13:17,0:42:49,23755,12.0,급속
37,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-02 09:42:00,2025-10-02 10:26,0:44:26,21243,9.0,급속
38,1,한전KDN 본사,58322,완속-007-01,5.0,2025-10-01 18:03:00,2025-10-01 20:06,2:02:39,423,18.0,완속
39,1,한전KDN 본사,58322,완속-007-01,4.0,2025-10-01 16:47:00,2025-10-01 20:06,3:18:24,4287,16.0,완속
40,1,한전KDN 본사,58322,완속-007-01,1.0,2025-10-01 18:05:00,2025-10-01 18:05,0:00:02,0,18.0,완속
41,1,한전KDN 본사,58322,완속-007-01,5.0,2025-10-01 12:48:00,2025-10-01 16:33,3:45:16,1128,12.0,완속
42,1,한전KDN 본사,58322,완속-007-01,4.0,2025-10-01 08:49:00,2025-10-01 16:02,7:13:34,12036,8.0,완속
43,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-01 15:12:00,2025-10-01 15:58,0:46:40,18894,15.0,급속
44,1,한전KDN 본사,58322,급속-100-02,1.0,2025-10-01 15:52:00,2025-10-01 15:54,0:01:37,239,15.0,급속
45,1,한전KDN 본사,58322,급속-200-01,1.0,2025-10-01 10:01:00,2025-10-01 10:45,0:44:03,23168,10.0,급속
46,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-30 18:57:00,2025-09-30 20:01,1:04:09,23287,18.0,급속
47,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-30 18:37:00,2025-09-30 19:10,0:33:18,9906,18.0,급속
48,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-30 07:53:00,2025-09-30 18:38,10:45:26,13006,7.0,완속
49,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-30 12:48:00,2025-09-30 17:14,4:25:39,2754,12.0,완속
50,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-27 19:18:00,2025-09-30 17:01,69:42:54,26877,19.0,완속
51,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-30 09:26:00,2025-09-30 10:39,1:12:45,19484,9.0,급속
52,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-30 08:50:00,2025-09-30 9:36,0:46:16,16683,8.0,급속
53,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-30 08:40:00,2025-09-30 9:02,0:22:21,5381,8.0,급속
54,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-29 12:33:00,2025-09-29 20:24,7:51:05,17197,12.0,완속
55,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-29 15:42:00,2025-09-29 16:55,1:12:48,17693,15.0,급속
56,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-29 15:00:00,2025-09-29 15:41,0:40:48,19293,15.0,급속
57,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-29 14:55:00,2025-09-29 15:14,0:19:25,7342,14.0,급속
58,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-29 07:22:00,2025-09-29 11:36,4:13:14,9391,7.0,완속
59,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-29 10:37:00,2025-09-29 10:50,0:13:25,6776,10.0,급속
60,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-29 09:03:00,2025-09-29 9:55,0:51:24,20840,9.0,급속
61,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-29 09:00:00,2025-09-29 9:50,0:49:39,20712,9.0,급속
62,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-26 15:52:00,2025-09-29 9:07,65:15:05,28666,15.0,완속
63,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-29 08:50:00,2025-09-29 8:58,0:08:26,4030,8.0,급속
64,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-27 00:02:00,2025-09-28 19:25,43:22:33,6223,0.0,완속
65,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-28 12:01:00,2025-09-28 14:48,2:47:00,6094,12.0,완속
66,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-28 11:40:00,2025-09-28 11:53,0:12:44,9792,11.0,급속
67,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-28 10:46:00,2025-09-28 11:18,0:31:59,15927,10.0,급속
68,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-27 19:09:00,2025-09-27 20:02,0:53:20,19605,19.0,급속
69,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-27 10:49:00,2025-09-27 11:32,0:43:01,1602,10.0,완속
70,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-27 10:32:00,2025-09-27 10:47,0:14:44,3395,10.0,급속
71,1,한전KDN 본사,58322,급속-100-02,2.0,2025-09-26 22:59:00,2025-09-26 23:39,0:39:10,20077,22.0,급속
72,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-26 17:24:00,2025-09-26 17:35,0:10:54,5944,17.0,급속
73,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-26 09:48:00,2025-09-26 10:33,0:45:44,17506,9.0,급속
74,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-25 13:07:00,2025-09-26 9:59,20:51:31,22631,13.0,완속
75,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-25 17:54:00,2025-09-26 9:24,15:29:21,12145,17.0,완속
76,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-25 13:02:00,2025-09-26 9:23,20:21:06,25704,13.0,완속
77,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-25 16:15:00,2025-09-25 16:46,0:30:56,10245,16.0,급속
78,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-25 14:17:00,2025-09-25 14:53,0:35:39,14370,14.0,급속
79,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-25 13:47:00,2025-09-25 14:26,0:38:57,24998,13.0,급속
80,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-25 09:49:00,2025-09-25 10:02,0:12:50,4881,9.0,급속
81,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-25 01:32:00,2025-09-25 1:43,0:10:42,4024,1.0,급속
82,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-24 19:28:00,2025-09-24 19:50,0:22:23,4563,19.0,급속
83,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-24 16:01:00,2025-09-24 18:11,2:09:17,3382,16.0,완속
84,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-24 17:20:00,2025-09-24 17:32,0:11:53,4635,17.0,급속
85,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-24 13:49:00,2025-09-24 14:29,0:40:10,13890,13.0,급속
86,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-24 11:02:00,2025-09-24 11:41,0:38:58,12721,11.0,급속
87,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-23 19:23:00,2025-09-24 8:51,13:27:47,15928,19.0,완속
88,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-23 12:44:00,2025-09-23 13:11,0:26:59,12401,12.0,급속
89,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-23 08:21:00,2025-09-23 10:42,2:21:17,4981,8.0,완속
90,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-23 08:40:00,2025-09-23 8:55,0:14:49,9202,8.0,급속
91,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-22 19:40:00,2025-09-23 8:47,13:07:34,22731,19.0,완속
92,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-22 18:47:00,2025-09-22 19:25,0:37:24,15412,18.0,급속
93,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-22 07:40:00,2025-09-22 18:04,10:24:00,12141,7.0,완속
94,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-22 14:14:00,2025-09-22 14:50,0:35:44,13328,14.0,급속
95,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-19 17:26:00,2025-09-22 14:07,68:40:30,19472,17.0,완속
